,0,1,2,sidx,idx_strs,pargp3,parval1_3,3
0,0,40,107,"(0, 40, 107)",idx0:0_idx1:40_idx2:107,chd_pw_headcn,0.0,0.0
1,0,41,107,"(0, 41, 107)",idx0:0_idx1:41_idx2:107,chd_pw_headcn,0.0,0.0
2,0,42,106,"(0, 42, 106)",idx0:0_idx1:42_idx2:106,chd_pw_headcn,0.0,0.0
3,0,43,106,"(0, 43, 106)",idx0:0_idx1:43_idx2:106,chd_pw_headcn,0.0,0.0
4,0,44,106,"(0, 44, 106)",idx0:0_idx1:44_idx2:106,chd_pw_headcn,0.0,0.0
5,0,45,105,"(0, 45, 105)",idx0:0_idx1:45_idx2:105,chd_pw_headcn,0.0,0.0
6,0,46,105,"(0, 46, 105)",idx0:0_idx1:46_idx2:105,chd_pw_headcn,0.0,0.0
7,0,47,104,"(0, 47, 104)",idx0:0_idx1:47_idx2:104,chd_pw_headcn,0.0,0.0
8,0,48,104,"(0, 48, 104)",idx0:0_idx1:48_idx2:104,chd_pw_headcn,0.0,0.0
9,0,49,103,"(0, 49, 103)",idx0:0_idx1:49_idx2:103,chd_pw_headcn,0.0,0.0
10,0,50,103,"(0, 50, 103)",idx0:0_idx1:50_idx2:103,chd_pw_headcn,0.0,0.0
11,0,51,102,"(0, 51, 102)",idx0:0_idx1:51_idx2:102,chd_pw_headcn,0.0,0.0
12,0,52,102,"(0, 52, 102)",idx0:0_idx1:52_idx2:102,chd_pw_headcn,0.0,0.0
13,0,53,101,"(0, 53, 101)",idx0:0_idx1:53_idx2:101,chd_pw_headcn,0.0,0.0
14,0,54,101,"(0, 54, 101)",idx0:0_idx1:54_idx2:101,chd_pw_headcn,0.0,0.0
15,0,55,100,"(0, 55, 100)",idx0:0_idx1:55_idx2:100,chd_pw_headcn,0.0,0.0
16,0,56,100,"(0, 56, 100)",idx0:0_idx1:56_idx2:100,chd_pw_headcn,0.0,0.0
17,0,57,100,"(0, 57, 100)",idx0:0_idx1:57_idx2:100,chd_pw_headcn,0.0,0.0
18,0,58,99,"(0, 58, 99)",idx0:0_idx1:58_idx2:99,chd_pw_headcn,0.0,0.0
19,0,59,99,"(0, 59, 99)",idx0:0_idx1:59_idx2:99,chd_pw_headcn,0.0,0.0
20,0,60,99,"(0, 60, 99)",idx0:0_idx1:60_idx2:99,chd_pw_headcn,0.0,0.0
21,0,61,99,"(0, 61, 99)",idx0:0_idx1:61_idx2:99,chd_pw_headcn,0.0,0.0
22,0,62,98,"(0, 62, 98)",idx0:0_idx1:62_idx2:98,chd_pw_headcn,0.0,0.0
23,0,63,98,"(0, 63, 98)",idx0:0_idx1:63_idx2:98,chd_pw_headcn,0.0,0.0
24,0,64,98,"(0, 64, 98)",idx0:0_idx1:64_idx2:98,chd_pw_headcn,0.0,0.0
25,0,65,97,"(0, 65, 97)",idx0:0_idx1:65_idx2:97,chd_pw_headcn,0.0,0.0
26,0,66,97,"(0, 66, 97)",idx0:0_idx1:66_idx2:97,chd_pw_headcn,0.0,0.0
27,0,67,97,"(0, 67, 97)",idx0:0_idx1:67_idx2:97,chd_pw_headcn,0.0,0.0
28,0,68,97,"(0, 68, 97)",idx0:0_idx1:68_idx2:97,chd_pw_headcn,0.0,0.0
29,0,69,98,"(0, 69, 98)",idx0:0_idx1:69_idx2:98,chd_pw_headcn,0.0,0.0
30,0,70,98,"(0, 70, 98)",idx0:0_idx1:70_idx2:98,chd_pw_headcn,0.0,0.0
31,0,71,98,"(0, 71, 98)",idx0:0_idx1:71_idx2:98,chd_pw_headcn,0.0,0.0
32,0,72,98,"(0, 72, 98)",idx0:0_idx1:72_idx2:98,chd_pw_headcn,0.0,0.0
33,0,73,98,"(0, 73, 98)",idx0:0_idx1:73_idx2:98,chd_pw_headcn,0.0,0.0
34,0,74,98,"(0, 74, 98)",idx0:0_idx1:74_idx2:98,chd_pw_headcn,0.0,0.0
35,0,75,98,"(0, 75, 98)",idx0:0_idx1:75_idx2:98,chd_pw_headcn,0.0,0.0
36,0,76,99,"(0, 76, 99)",idx0:0_idx1:76_idx2:99,chd_pw_headcn,0.0,0.0
37,0,77,99,"(0, 77, 99)",idx0:0_idx1:77_idx2:99,chd_pw_headcn,0.0,0.0
38,0,78,99,"(0, 78, 99)",idx0:0_idx1:78_idx2:99,chd_pw_headcn,0.0,0.0
39,0,79,99,"(0, 79, 99)",idx0:0_idx1:79_idx2:99,chd_pw_headcn,0.0,0.0
40,0,80,99,"(0, 80, 99)",idx0:0_idx1:80_idx2:99,chd_pw_headcn,0.0,0.0
41,0,81,100,"(0, 81, 100)",idx0:0_idx1:81_idx2:100,chd_pw_headcn,0.0,0.0
42,0,82,100,"(0, 82, 100)",idx0:0_idx1:82_idx2:100,chd_pw_headcn,0.0,0.0
43,0,83,100,"(0, 83, 100)",idx0:0_idx1:83_idx2:100,chd_pw_headcn,0.0,0.0
44,0,84,100,"(0, 84, 100)",idx0:0_idx1:84_idx2:100,chd_pw_headcn,0.0,0.0
45,0,85,100,"(0, 85, 100)",idx0:0_idx1:85_idx2:100,chd_pw_headcn,0.0,0.0
46,0,86,101,"(0, 86, 101)",idx0:0_idx1:86_idx2:101,chd_pw_headcn,0.0,0.0
47,0,87,101,"(0, 87, 101)",idx0:0_idx1:87_idx2:101,chd_pw_headcn,0.0,0.0
48,0,88,101,"(0, 88, 101)",idx0:0_idx1:88_idx2:101,chd_pw_headcn,0.0,0.0
49,0,89,101,"(0, 89, 101)",idx0:0_idx1:89_idx2:101,chd_pw_headcn,0.0,0.0
50,0,90,101,"(0, 90, 101)",idx0:0_idx1:90_idx2:101,chd_pw_headcn,0.0,0.0
51,0,91,101,"(0, 91, 101)",idx0:0_idx1:91_idx2:101,chd_pw_headcn,0.0,0.0
52,0,92,101,"(0, 92, 101)",idx0:0_idx1:92_idx2:101,chd_pw_headcn,0.0,0.0
53,0,93,101,"(0, 93, 101)",idx0:0_idx1:93_idx2:101,chd_pw_headcn,0.0,0.0
54,0,94,101,"(0, 94, 101)",idx0:0_idx1:94_idx2:101,chd_pw_headcn,0.0,0.0
55,0,95,101,"(0, 95, 101)",idx0:0_idx1:95_idx2:101,chd_pw_headcn,0.0,0.0
56,0,96,101,"(0, 96, 101)",idx0:0_idx1:96_idx2:101,chd_pw_headcn,0.0,0.0
57,0,97,102,"(0, 97, 102)",idx0:0_idx1:97_idx2:102,chd_pw_headcn,0.0,0.0
58,0,98,102,"(0, 98, 102)",idx0:0_idx1:98_idx2:102,chd_pw_headcn,0.0,0.0
59,0,99,102,"(0, 99, 102)",idx0:0_idx1:99_idx2:102,chd_pw_headcn,0.0,0.0
60,0,100,102,"(0, 100, 102)",idx0:0_idx1:100_idx2:102,chd_pw_headcn,0.0,0.0
61,0,101,102,"(0, 101, 102)",idx0:0_idx1:101_idx2:102,chd_pw_headcn,0.0,0.0
62,0,102,102,"(0, 102, 102)",idx0:0_idx1:102_idx2:102,chd_pw_headcn,0.0,0.0
63,0,103,102,"(0, 103, 102)",idx0:0_idx1:103_idx2:102,chd_pw_headcn,0.0,0.0
64,0,104,102,"(0, 104, 102)",idx0:0_idx1:104_idx2:102,chd_pw_headcn,0.0,0.0
65,0,105,102,"(0, 105, 102)",idx0:0_idx1:105_idx2:102,chd_pw_headcn,0.0,0.0
66,0,106,102,"(0, 106, 102)",idx0:0_idx1:106_idx2:102,chd_pw_headcn,0.0,0.0
67,0,107,102,"(0, 107, 102)",idx0:0_idx1:107_idx2:102,chd_pw_headcn,0.0,0.0
68,0,108,102,"(0, 108, 102)",idx0:0_idx1:108_idx2:102,chd_pw_headcn,0.0,0.0
69,0,109,102,"(0, 109, 102)",idx0:0_idx1:109_idx2:102,chd_pw_headcn,0.0,0.0
70,0,110,101,"(0, 110, 101)",idx0:0_idx1:110_idx2:101,chd_pw_headcn,0.0,0.0
71,0,111,101,"(0, 111, 101)",idx0:0_idx1:111_idx2:101,chd_pw_headcn,0.0,0.0
