0	40	107	6.517
0	41	107	6.579
0	42	106	6.551
0	43	106	6.628
0	44	106	8.125
0	45	105	6.786
0	46	105	8.368
0	47	104	6.783
0	48	104	8.348
0	49	103	6.722
0	50	103	7.58
0	51	102	6.789
0	52	102	6.822
0	53	101	6.681
0	54	101	6.836
0	55	100	6.913
0	56	100	6.91
0	57	100	7.109
0	58	99	6.953
0	59	99	6.939
0	60	99	7.236
0	61	99	8.2
0	62	98	7.352
0	63	98	7.436
0	64	98	7.592
0	65	97	9.921
0	66	97	8.981
0	67	97	9.054
0	68	97	10.108
0	69	98	7.727
0	70	98	7.608
0	71	98	7.769
0	72	98	8.178
0	73	98	8.113
0	74	98	7.988
0	75	98	8.279
0	76	99	7.686
0	77	99	7.662
0	78	99	7.79
0	79	99	8.914
0	80	99	9.274
0	81	100	7.953
0	82	100	8.008
0	83	100	7.968
0	84	100	8.935
0	85	100	9.899
0	86	101	8.139
0	87	101	8.102
0	88	101	8.143
0	89	101	8.115
0	90	101	8.13
0	91	101	8.083
0	92	101	9.97
0	93	101	10.662
0	94	101	10.209
0	95	101	9.807
0	96	101	10.053
0	97	102	8.092
0	98	102	8.151
0	99	102	8.112
0	100	102	8.13
0	101	102	8.111
0	102	102	8.278
0	103	102	8.477
0	104	102	8.241
0	105	102	8.176
0	106	102	8.155
0	107	102	8.112
0	108	102	8.172
0	109	102	8.156
0	110	101	8.14
0	111	101	8.168
0	112	101	8.189
0	113	101	8.695
0	114	101	9.99
0	115	100	8.181
0	116	100	8.175
0	117	100	8.2
0	118	100	8.178
0	119	100	8.18
0	120	99	8.232
