pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
28,-7.595761797698515,-6.504183477779807,0.13157894736842105,1925066.8852382023,5599133.351816522,aw,8.545809297368422,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
29,3.838626599008917,-9.233901983093672,0.13157894736842105,1925078.3196265989,5599130.622098017,aw,8.545809297368422,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.7520227516546396,0.06220980165526271,0.8319626598851755,0
30,-8.561910912306672,5.166592835682325,0.15789473684210525,1925065.9190890875,5599145.022592835,aw,8.572125086842105,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.21968601479713407,0.5022592835128308,0.5919089087517933,0
31,-7.559497759646603,-6.546296175846155,0.15789473684210525,1925066.9215022402,5599133.309703824,aw,8.572125086842105,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
32,3.889884358966392,-9.212426372778706,0.15789473684210525,1925078.3708843589,5599130.643573627,aw,8.572125086842105,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.769735412250736,0.06435736268758774,0.8370884358882904,0
33,9.963578505794427,0.8527035586130087,0.15789473684210525,1925084.4445785058,5599140.708703558,aw,8.572125086842105,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.8744169188976036,0.0708703557960689,0.44445785058196635,0
34,2.2679458071924556,9.739426154329534,0.15789473684210525,1925076.748945807,5599149.595426154,aw,8.572125086842105,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.2881217673331714,0.9595426154322922,0.6748945807106793,0
35,9.53335127792981,3.019141171193235,0.18421052631578946,1925084.0143512778,5599142.875141171,aw,8.59844087631579,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.8924509439487512,0.2875141170807183,0.401435127784498,0
36,0.07459367374812695,9.999721785321668,0.18421052631578946,1925074.5555936736,5599149.855721785,aw,8.59844087631579,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.30435590972993826,0.9855721784755588,0.4555593673605472,0
37,-9.487249852207746,3.1610267701783363,0.18421052631578946,1925064.9937501478,5599143.01702677,aw,8.59844087631579,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.23571006448056459,0.3017026769928634,0.49937501477543267,0
38,-5.938036542174931,-8.046099802003152,0.18421052631578946,1925068.5429634578,5599131.809900198,aw,8.59844087631579,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
39,5.817341442704739,-8.133789924690085,0.18421052631578946,1925080.2983414426,5599131.722210075,aw,8.59844087631579,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.1685175195921067,0.17222100747749208,0.029834144259803,0
40,8.09280747599217,5.874220557361227,0.21052631578947367,1925082.5738074759,5599145.730220557,aw,8.624756665789475,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.910484968999899,0.5730220557190477,0.2573807475855574,0
41,-3.0859006969471388,9.511951266095783,0.21052631578947367,1925071.395099303,5599149.367951266,aw,8.624756665789475,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.3205900521267051,0.9367951265536248,0.13950993029866368,0
42,-9.999998992612491,0.004488624418560528,0.21052631578947367,1925064.4810010074,5599139.860488624,aw,8.624756665789475,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
43,-3.0944385679520883,-9.509177143642379,0.21052631578947367,1925071.386561432,5599130.346822856,aw,8.624756665789475,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.8051607334429315,0.034682285599410535,0.13865614319220185,0
44,8.087530781519549,-5.881483304233193,0.21052631578947367,1925082.5685307814,5599133.974516695,aw,8.624756665789475,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.1843359245061693,0.397451669536531,0.25685307814273983,0
