0	0	60	1
0	0	61	1
0	0	62	1
0	0	63	1
0	0	64	1
0	0	65	1
0	0	66	1
0	1	59	1
0	1	67	1
0	1	68	1
0	1	69	1
0	1	70	1
0	1	71	1
0	1	72	1
0	1	73	1
0	1	74	1
0	1	75	1
0	1	76	1
0	1	77	1
0	1	78	1
0	1	79	1
0	1	80	1
0	1	81	1
0	2	57	1
0	2	58	1
0	3	56	1
0	4	54	1
0	4	55	1
0	5	53	1
0	6	51	1
0	6	52	1
0	7	49	1
0	7	50	1
0	8	48	1
0	9	46	1
0	9	47	1
0	10	45	1
0	11	43	1
0	11	44	1
0	12	42	1
0	13	40	1
0	13	41	1
0	14	39	1
0	15	37	1
0	15	38	1
0	16	36	1
0	17	34	1
0	17	35	1
0	18	32	1
0	18	33	1
0	19	31	1
0	20	29	1
0	20	30	1
0	21	28	1
0	22	26	1
0	22	27	1
0	23	25	1
0	24	23	1
0	24	24	1
0	25	22	1
0	26	20	1
0	26	21	1
0	27	20	1
0	28	20	1
0	29	19	1
0	30	19	1
0	31	18	1
0	32	18	1
0	33	17	1
0	34	17	1
0	35	16	1
0	36	16	1
0	37	15	1
0	38	15	1
0	39	15	1
0	40	14	1
0	41	14	1
0	42	13	1
0	43	13	1
0	44	12	1
0	45	12	1
0	46	11	1
0	47	11	1
0	48	11	1
0	49	10	1
0	50	10	1
0	51	9	1
0	52	9	1
0	53	8	1
0	54	8	1
0	55	7	1
0	56	7	1
0	57	7	1
0	58	6	1
0	59	6	1
0	60	5	1
0	61	5	1
0	62	4	1
0	63	4	1
0	64	3	1
0	65	3	1
0	66	2	1
0	67	2	1
0	68	2	1
0	69	2	1
0	70	2	1
0	71	2	1
0	72	2	1
0	73	2	1
0	74	2	1
0	75	2	1
0	76	2	1
0	77	2	1
0	78	2	1
0	79	1	1
0	80	1	1
0	81	1	1
0	82	1	1
0	83	1	1
0	84	1	1
0	85	1	1
0	86	1	1
0	87	1	1
0	88	1	1
0	89	1	1
0	90	1	1
0	91	1	1
0	92	1	1
0	93	1	1
0	94	1	1
0	95	1	1
0	96	1	1
0	97	1	1
0	98	1	1
0	99	1	1
0	100	1	1
0	101	1	1
0	102	1	1
0	103	1	1
0	104	1	1
0	105	0	1
0	106	0	1
1	0	60	1
1	0	61	1
1	0	62	1
1	0	63	1
1	0	64	1
1	0	65	1
1	0	66	1
1	1	59	1
1	1	67	1
1	1	68	1
1	1	69	1
1	1	70	1
1	1	71	1
1	1	72	1
1	1	73	1
1	1	74	1
1	1	75	1
1	1	76	1
1	1	77	1
1	1	78	1
1	1	79	1
1	1	80	1
1	1	81	1
1	2	57	1
1	2	58	1
1	3	56	1
1	4	54	1
1	4	55	1
1	5	53	1
1	6	51	1
1	6	52	1
1	7	49	1
1	7	50	1
1	8	48	1
1	9	46	1
1	9	47	1
1	10	45	1
1	11	43	1
1	11	44	1
1	12	42	1
1	13	40	1
1	13	41	1
1	14	39	1
1	15	37	1
1	15	38	1
1	16	36	1
1	17	34	1
1	17	35	1
1	18	32	1
1	18	33	1
1	19	31	1
1	20	29	1
1	20	30	1
1	21	28	1
1	22	26	1
1	22	27	1
1	23	25	1
1	24	23	1
1	24	24	1
1	25	22	1
1	26	20	1
1	26	21	1
1	27	20	1
1	28	20	1
1	29	19	1
1	30	19	1
1	31	18	1
1	32	18	1
1	33	17	1
1	34	17	1
1	35	16	1
1	36	16	1
1	37	15	1
1	38	15	1
1	39	15	1
