1,41,108,6.517
1,42,108,6.579
1,43,107,6.551
1,44,107,6.628
1,45,107,8.125
1,46,106,6.786
1,47,106,8.368
1,48,105,6.783
1,49,105,8.348
1,50,104,6.722
1,51,104,7.58
1,52,103,6.789
1,53,103,6.822
1,54,102,6.681
1,55,102,6.836
1,56,101,6.913
1,57,101,6.91
1,58,101,7.109
1,59,100,6.953
1,60,100,6.939
1,61,100,7.236
1,62,100,8.2
1,63,99,7.352
1,64,99,7.436
1,65,99,7.592
1,66,98,9.921
1,67,98,8.981
1,68,98,9.054
1,69,98,10.108
1,70,99,7.727
1,71,99,7.608
1,72,99,7.769
1,73,99,8.178
1,74,99,8.113
1,75,99,7.988
1,76,99,8.279
1,77,100,7.686
1,78,100,7.662
1,79,100,7.79
1,80,100,8.914
1,81,100,9.274
1,82,101,7.953
1,83,101,8.008
1,84,101,7.968
1,85,101,8.935
1,86,101,9.899
1,87,102,8.139
1,88,102,8.102
1,89,102,8.143
1,90,102,8.115
1,91,102,8.13
1,92,102,8.083
1,93,102,9.97
1,94,102,10.662
1,95,102,10.209
1,96,102,9.807
1,97,102,10.053
1,98,103,8.092
1,99,103,8.151
1,100,103,8.112
1,101,103,8.13
1,102,103,8.111
1,103,103,8.278
1,104,103,8.477
1,105,103,8.241
1,106,103,8.176
1,107,103,8.155
1,108,103,8.112
1,109,103,8.172
1,110,103,8.156
1,111,102,8.14
1,112,102,8.168
1,113,102,8.189
1,114,102,8.695
1,115,102,9.99
1,116,101,8.181
1,117,101,8.175
1,118,101,8.2
1,119,101,8.178
1,120,101,8.18
1,121,100,8.232
