x,y,i,j,node,start_datetime,end_datetime,flux_m3,screen_top,screen_botm
507955.0,1186285.0,245,330,96860,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
510955.0,1186285.0,245,333,96863,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
511955.0,1186285.0,245,334,96864,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
513955.0,1186285.0,245,336,96866,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
520955.0,1186285.0,245,343,96873,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
530955.0,1186285.0,245,353,96883,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
531955.0,1186285.0,245,354,96884,2007-04-01,2007-04-30,-248.92001000000002,9999.0,9999.0
534955.0,1186285.0,245,357,96887,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
503955.0,1187285.0,246,326,97250,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
510955.0,1187285.0,246,333,97257,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
516955.0,1187285.0,246,339,97263,2007-04-01,2007-04-30,-320.04,9999.0,9999.0
518955.0,1187285.0,246,341,97265,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
531955.0,1187285.0,246,354,97278,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
533955.0,1187285.0,246,356,97280,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
534955.0,1187285.0,246,357,97281,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
499955.0,1188285.0,247,322,97640,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
517955.0,1188285.0,247,340,97658,2007-04-01,2007-04-30,-177.8,9999.0,9999.0
521955.0,1188285.0,247,344,97662,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
526955.0,1188285.0,247,349,97667,2007-04-01,2007-04-30,-533.4,9999.0,9999.0
527955.0,1188285.0,247,350,97668,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
532955.0,1188285.0,247,355,97673,2007-04-01,2007-04-30,-320.04,9999.0,9999.0
533955.0,1188285.0,247,356,97674,2007-04-01,2007-04-30,-248.92001000000002,9999.0,9999.0
499955.0,1189285.0,248,322,98034,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
524955.0,1189285.0,248,347,98059,2007-04-01,2007-04-30,-533.4,9999.0,9999.0
502955.0,1190285.0,249,325,98431,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
513955.0,1190285.0,249,336,98442,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
515955.0,1190285.0,249,338,98444,2007-04-01,2007-04-30,-782.32,9999.0,9999.0
516955.0,1190285.0,249,339,98445,2007-04-01,2007-04-30,-533.4,9999.0,9999.0
517955.0,1190285.0,249,340,98446,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
524955.0,1190285.0,249,347,98453,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
500955.0,1191285.0,250,323,98823,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
501955.0,1191285.0,250,324,98824,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
513955.0,1191285.0,250,336,98836,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
514955.0,1191285.0,250,337,98837,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
515955.0,1191285.0,250,338,98838,2007-04-01,2007-04-30,-2311.4001,9999.0,9999.0
516955.0,1191285.0,250,339,98839,2007-04-01,2007-04-30,-1671.3202,9999.0,9999.0
517955.0,1191285.0,250,340,98840,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
519955.0,1191285.0,250,342,98842,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
515955.0,1192285.0,251,338,99232,2007-04-01,2007-04-30,-995.68005,9999.0,9999.0
516955.0,1192285.0,251,339,99233,2007-04-01,2007-04-30,-1706.88,9999.0,9999.0
517955.0,1192285.0,251,340,99234,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
509955.0,1193285.0,252,332,99620,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
521955.0,1193285.0,252,344,99632,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
522955.0,1193285.0,252,345,99633,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
523955.0,1193285.0,252,346,99634,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
500955.0,1194285.0,253,323,100005,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
501955.0,1194285.0,253,324,100006,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
502955.0,1194285.0,253,325,100007,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
518955.0,1194285.0,253,341,100023,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
519955.0,1194285.0,253,342,100024,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
500955.0,1195285.0,254,323,100399,2007-04-01,2007-04-30,-853.44,9999.0,9999.0
501955.0,1195285.0,254,324,100400,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
502955.0,1196285.0,255,325,100795,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
506955.0,1196285.0,255,329,100799,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
523955.0,1196285.0,255,346,100816,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
500955.0,1197285.0,256,323,101187,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
504955.0,1197285.0,256,327,101191,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
522955.0,1197285.0,256,345,101209,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
500955.0,1198285.0,257,323,101581,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
501955.0,1198285.0,257,324,101582,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
