pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
0,-3.064037386530911,-9.519016487743933,0.0,1925160.0699626135,5599053.707983512,pk4,3.4284996000000003,"(3, np.int64(77), np.int64(87))",4,78,88,0.48424010510427246,0.3707983512431383,0.00699626135174185,0
1,8.106283035551622,-5.8556105870803945,0.0,1925171.2402830357,5599057.371389413,pk4,3.4284996000000003,"(3, np.int64(77), np.int64(88))",4,78,89,0.3073373963428474,0.7371389413252473,0.12402830356732011,0
2,8.073995824928486,5.900050120044522,0.0,1925171.207995825,5599069.12705012,pk4,3.4284996000000003,"(3, np.int64(76), np.int64(88))",4,77,89,0.3497037282664547,0.9127050120383501,0.12079958249814808,0
3,-3.116279190721079,9.502042096595805,0.0,1925160.0177208094,5599072.729042097,pk4,3.4284996000000003,"(3, np.int64(75), np.int64(87))",4,76,88,0.1811504894900535,0.2729042096994817,0.0017720809439197183,0
4,-9.999962283228124,-0.027465141816010088,0.0,1925153.1340377168,5599063.199534859,pk4,3.4284996000000003,"(3, np.int64(76), np.int64(86))",4,77,87,0.06646904385313034,0.31995348585769534,0.3134037716779858,0
5,5.578492828014774,-8.299422737021397,0.02631578947368421,1925168.712492828,5599054.927577263,pk4,3.4548153894736844,"(3, np.int64(77), np.int64(87))",4,78,88,0.5033081368539761,0.49275772627443076,0.8712492828024552,0
6,9.617069162387683,2.7407992859477783,0.02631578947368421,1925172.7510691625,5599065.967799286,pk4,3.4548153894736844,"(3, np.int64(76), np.int64(88))",4,77,89,0.3677391127414118,0.5967799286358059,0.275106916250661,0
7,0.3651827864992973,9.993329852078567,0.02631578947368421,1925163.4991827866,5599073.220329852,pk4,3.4548153894736844,"(3, np.int64(75), np.int64(87))",4,76,88,0.1978921269279752,0.32203298518434165,0.3499182786559686,0
8,-9.391373788224723,3.435418223425735,0.02631578947368421,1925153.7426262118,5599066.662418223,pk4,3.4548153894736844,"(3, np.int64(76), np.int64(86))",4,77,87,0.08233043240686509,0.6662418222986162,0.37426262118387965,0
9,-6.169370988677033,-7.870124624430681,0.02631578947368421,1925156.9646290115,5599055.356875376,pk4,3.4548153894736844,"(3, np.int64(77), np.int64(86))",4,78,87,0.08724329295059037,0.5356875375844539,0.6964629011461512,0
